Drug,Recall_2022,Precision_2022,F1_2022,Support_2022
hydroxychloroquine,0.3492723492723493,0.42,0.3813847900113507,481.0
venlafaxine,0.34527972027972026,0.3147410358565737,0.32930387661525634,1144.0
mupirocin,0.33613445378151263,0.9876543209876543,0.5015673981191222,238.0
lisdexamfetamine,0.33271375464684017,0.7521008403361344,0.46134020618556704,538.0
meclizine,0.33248081841432225,0.4088050314465409,0.36671368124118475,391.0
hydrocortisone,0.3223684210526316,0.04202401372212693,0.07435508345978756,152.0
atenolol,0.30654761904761907,0.9196428571428571,0.45982142857142855,1008.0
lamotrigine,0.29976303317535546,0.5337552742616034,0.38391502276176026,844.0
medroxyprogesterone,0.29411764705882354,0.08032128514056225,0.12618296529968454,68.0
ezetimibe,0.2857142857142857,0.5024630541871922,0.36428571428571427,714.0
glipizide,0.2757527733755943,0.16893203883495145,0.2095123419626731,1262.0
nitrofurantoin,0.2744360902255639,0.584,0.3734015345268542,266.0
famotidine,0.27195225916453536,0.2264017033356991,0.24709527498063516,1173.0
zolpidem,0.26869158878504673,0.7301587301587301,0.3928266438941076,856.0
pramipexole,0.2640449438202247,0.8245614035087719,0.4,178.0
fluoxetine,0.262094304960196,0.45052631578947366,0.3313975996902826,1633.0
ketorolac,0.2605633802816901,0.47435897435897434,0.33636363636363636,142.0
metoprolol,0.25469959454478436,0.3493427704752275,0.2946066936687273,5426.0
hydroxyzine,0.25435203094777564,0.3978819969742814,0.31032448377581123,1034.0
clonazepam,0.2508214676889376,0.4186471663619744,0.3136986301369863,913.0
valsartan,0.25054466230936817,0.8778625954198473,0.3898305084745763,459.0
lovastatin,0.24761904761904763,0.03967951163677985,0.06839855310753042,420.0
cyclobenzaprine,0.24741379310344827,0.400278940027894,0.3058071390516782,1160.0
risperidone,0.24333333333333335,0.28294573643410853,0.2616487455197133,300.0
acyclovir,0.23780487804878048,0.15789473684210525,0.1897810218978102,328.0
irbesartan,0.2361111111111111,0.08585858585858586,0.1259259259259259,216.0
torsemide,0.22613065326633167,0.05791505791505792,0.09221311475409837,199.0
pantoprazole,0.22611089264648054,0.8518518518518519,0.3573648228713487,2543.0
fluticasone,0.2244031830238727,0.5558475689881734,0.3197278911564626,1885.0
clobetasol,0.22348484848484848,0.007342874922215308,0.01421858055187372,264.0
hydralazine,0.20872865275142316,0.2981029810298103,0.24553571428571427,527.0
prednisone,0.20337790288529206,0.40083217753120665,0.2698412698412698,1421.0
clonidine,0.20327102803738317,0.06216505894962487,0.09521203830369357,856.0
verapamil,0.20179372197309417,0.35714285714285715,0.25787965616045844,223.0
tadalafil,0.19230769230769232,0.1111111111111111,0.14084507042253522,260.0
dicyclomine,0.1875,0.18506493506493507,0.18627450980392157,304.0
olanzapine,0.18681318681318682,0.06854838709677419,0.10029498525073746,273.0
prednisolone,0.17701863354037267,0.6867469879518072,0.2814814814814815,322.0
tobramycin,0.17647058823529413,0.6923076923076923,0.28125,51.0
